keys,ja
event.speaker.commander,戦務参謀
event.speaker.aria_nova,アリア・ノヴァ
event.speaker.darius_crimson,ダリウス・クリムゾン
event.speaker.emperor,皇帝
event.nova_main_001_first_contact.title,初接触
event.nova_main_001_first_contact.dialogue1,司令官、クリムゾン帝国の哨戒部隊を国境付近で確認しました。まだ交戦距離外です。
event.nova_main_001_first_contact.dialogue2,相手に先制攻撃の意図があるかは不明です。対応方針をお聞かせください。
event.nova_main_001_first_contact.choice_aggressive,威嚇のため、国境部隊を増強する
event.nova_main_001_first_contact.choice_diplomatic,不要な刺激を避け、静観する
event.nova_main_002_veteran_pilot.title,歴戦のパイロット
event.nova_main_002_veteran_pilot.dialogue1,司令官、配属を拝命しましたアリア・ノヴァです。前線で鍛えた腕、必ずお役に立ててみせます。
event.nova_sub_001_border_skirmish.title,国境の小競り合い
event.nova_sub_001_border_skirmish.dialogue1,新たに確保した領域から、当面の運用資金を確保できました。
event.nova_sub_002_diplomacy_pays_off.title,外交の実り
event.nova_sub_002_diplomacy_pays_off.dialogue1,先の対応が功を奏したようです。友好的な取引により、資材の供給を受けられることになりました。
event.crimson_main_001_iron_resolve.title,鋼鉄の意志
event.crimson_main_001_iron_resolve.dialogue1,ノヴァ共和国の偵察部隊が国境に姿を見せている。まだ手出しはしていないようだ。
event.crimson_main_001_iron_resolve.dialogue2,余の名において、方針を定めよ。
event.crimson_main_001_iron_resolve.choice_aggressive,力による威圧をもって応じる
event.crimson_main_001_iron_resolve.choice_diplomatic,無用な衝突を避け、様子を見る
event.crimson_main_002_field_commander.title,戦場の指揮官
event.crimson_main_002_field_commander.dialogue1,陛下、ダリウス・クリムゾン、着任いたしました。この身、帝国の盾となりましょう。
event.crimson_sub_001_supply_raid.title,補給線の掌握
event.crimson_sub_001_supply_raid.dialogue1,新領土からの徴収により、当面の軍資金に不足はない。
event.crimson_sub_002_zealous_officer.title,熱烈なる将校
event.crimson_sub_002_zealous_officer.dialogue1,余の強硬方針を支持する将校らが、私財を軍へ投じたいと申し出た。ありがたく受け取るとしよう。
